date,mx_policy_rate
2024-12-23,8.0500
2024-12-24,8.0500
2024-12-25,8.0500
2024-12-26,8.0500
2024-12-27,8.0500
2024-12-28,8.0500
2024-12-29,8.0500
2024-12-30,8.0500
2024-12-31,8.0500
2025-01-01,7.8800
2025-01-02,7.8800
2025-01-03,7.8800
2025-01-04,7.8800
2025-01-05,7.8800
2025-01-06,7.8800
2025-01-07,7.8800
2025-01-08,7.8800
2025-01-09,7.8800
2025-01-10,7.8800
2025-01-11,7.8800
2025-01-12,7.8800
2025-01-13,7.8800
2025-01-14,7.8800
2025-01-15,7.8800
2025-01-16,7.8800
2025-01-17,7.8800
2025-01-18,7.8800
2025-01-19,7.8800
2025-01-20,7.8800
2025-01-21,7.8800
2025-01-22,7.8800
2025-01-23,7.8800
2025-01-24,7.8800
2025-01-25,7.8800
2025-01-26,7.8800
2025-01-27,7.8800
2025-01-28,7.8800
2025-01-29,7.8800
2025-01-30,7.8800
2025-01-31,7.8800
2025-02-01,7.7500
2025-02-02,7.7500
2025-02-03,7.7500
2025-02-04,7.7500
2025-02-05,7.7500
2025-02-06,7.7500
2025-02-07,7.7500
2025-02-08,7.7500
2025-02-09,7.7500
2025-02-10,7.7500
2025-02-11,7.7500
2025-02-12,7.7500
2025-02-13,7.7500
2025-02-14,7.7500
2025-02-15,7.7500
2025-02-16,7.7500
2025-02-17,7.7500
2025-02-18,7.7500
2025-02-19,7.7500
2025-02-20,7.7500
2025-02-21,7.7500
2025-02-22,7.7500
2025-02-23,7.7500
2025-02-24,7.7500
2025-02-25,7.7500
2025-02-26,7.7500
2025-02-27,7.7500
2025-02-28,7.7500
2025-03-01,7.4600
2025-03-02,7.4600
2025-03-03,7.4600
2025-03-04,7.4600
2025-03-05,7.4600
2025-03-06,7.4600
2025-03-07,7.4600
2025-03-08,7.4600
2025-03-09,7.4600
2025-03-10,7.4600
2025-03-11,7.4600
2025-03-12,7.4600
2025-03-13,7.4600
2025-03-14,7.4600
2025-03-15,7.4600
2025-03-16,7.4600
2025-03-17,7.4600
2025-03-18,7.4600
2025-03-19,7.4600
2025-03-20,7.4600
2025-03-21,7.4600
2025-03-22,7.4600
2025-03-23,7.4600
2025-03-24,7.4600
2025-03-25,7.4600
2025-03-26,7.4600
2025-03-27,7.4600
2025-03-28,7.4600
2025-03-29,7.4600
2025-03-30,7.4600
2025-03-31,7.4600
2025-04-01,7.1700
2025-04-02,7.1700
2025-04-03,7.1700
2025-04-04,7.1700
2025-04-05,7.1700
2025-04-06,7.1700
2025-04-07,7.1700
2025-04-08,7.1700
2025-04-09,7.1700
2025-04-10,7.1700
2025-04-11,7.1700
2025-04-12,7.1700
2025-04-13,7.1700
2025-04-14,7.1700
2025-04-15,7.1700
2025-04-16,7.1700
2025-04-17,7.1700
2025-04-18,7.1700
2025-04-19,7.1700
2025-04-20,7.1700
2025-04-21,7.1700
2025-04-22,7.1700
2025-04-23,7.1700
2025-04-24,7.1700
2025-04-25,7.1700
2025-04-26,7.1700
2025-04-27,7.1700
2025-04-28,7.1700
2025-04-29,7.1700
2025-04-30,7.1700
2025-05-01,6.9100
2025-05-02,6.9100
2025-05-03,6.9100
2025-05-04,6.9100
2025-05-05,6.9100
2025-05-06,6.9100
2025-05-07,6.9100
2025-05-08,6.9100
2025-05-09,6.9100
2025-05-10,6.9100
2025-05-11,6.9100
2025-05-12,6.9100
2025-05-13,6.9100
2025-05-14,6.9100
2025-05-15,6.9100
2025-05-16,6.9100
2025-05-17,6.9100
2025-05-18,6.9100
2025-05-19,6.9100
2025-05-20,6.9100
2025-05-21,6.9100
2025-05-22,6.9100
2025-05-23,6.9100
2025-05-24,6.9100
2025-05-25,6.9100
2025-05-26,6.9100
2025-05-27,6.9100
2025-05-28,6.9100
2025-05-29,6.9100
2025-05-30,6.9100
2025-05-31,6.9100
2025-06-01,6.6500
2025-06-02,6.6500
2025-06-03,6.6500
2025-06-04,6.6500
2025-06-05,6.6500
2025-06-06,6.6500
2025-06-07,6.6500
2025-06-08,6.6500
2025-06-09,6.6500
2025-06-10,6.6500
2025-06-11,6.6500
2025-06-12,6.6500
2025-06-13,6.6500
2025-06-14,6.6500
2025-06-15,6.6500
2025-06-16,6.6500
2025-06-17,6.6500
2025-06-18,6.6500
2025-06-19,6.6500
2025-06-20,6.6500
2025-06-21,6.6500
2025-06-22,6.6500
2025-06-23,6.6500
2025-06-24,6.6500
2025-06-25,6.6500
2025-06-26,6.6500
2025-06-27,6.6500
2025-06-28,6.6500
2025-06-29,6.6500
2025-06-30,6.6500
2025-07-01,6.3600
2025-07-02,6.3600
2025-07-03,6.3600
2025-07-04,6.3600
2025-07-05,6.3600
2025-07-06,6.3600
2025-07-07,6.3600
2025-07-08,6.3600
2025-07-09,6.3600
2025-07-10,6.3600
2025-07-11,6.3600
2025-07-12,6.3600
2025-07-13,6.3600
2025-07-14,6.3600
2025-07-15,6.3600
2025-07-16,6.3600
2025-07-17,6.3600
2025-07-18,6.3600
2025-07-19,6.3600
2025-07-20,6.3600
2025-07-21,6.3600
2025-07-22,6.3600
2025-07-23,6.3600
2025-07-24,6.3600
2025-07-25,6.3600
2025-07-26,6.3600
2025-07-27,6.3600
2025-07-28,6.3600
2025-07-29,6.3600
2025-07-30,6.3600
2025-07-31,6.3600
2025-08-01,6.2100
2025-08-02,6.2100
2025-08-03,6.2100
2025-08-04,6.2100
2025-08-05,6.2100
2025-08-06,6.2100
2025-08-07,6.2100
2025-08-08,6.2100
2025-08-09,6.2100
2025-08-10,6.2100
2025-08-11,6.2100
2025-08-12,6.2100
2025-08-13,6.2100
2025-08-14,6.2100
2025-08-15,6.2100
2025-08-16,6.2100
2025-08-17,6.2100
2025-08-18,6.2100
2025-08-19,6.2100
2025-08-20,6.2100
2025-08-21,6.2100
2025-08-22,6.2100
2025-08-23,6.2100
2025-08-24,6.2100
2025-08-25,6.2100
2025-08-26,6.2100
2025-08-27,6.2100
2025-08-28,6.2100
2025-08-29,6.2100
2025-08-30,6.2100
2025-08-31,6.2100
2025-09-01,6.0900
2025-09-02,6.0900
2025-09-03,6.0900
2025-09-04,6.0900
2025-09-05,6.0900
2025-09-06,6.0900
2025-09-07,6.0900
2025-09-08,6.0900
2025-09-09,6.0900
2025-09-10,6.0900
2025-09-11,6.0900
2025-09-12,6.0900
2025-09-13,6.0900
2025-09-14,6.0900
2025-09-15,6.0900
2025-09-16,6.0900
2025-09-17,6.0900
2025-09-18,6.0900
2025-09-19,6.0900
2025-09-20,6.0900
2025-09-21,6.0900
2025-09-22,6.0900
2025-09-23,6.0900
2025-09-24,6.0900
2025-09-25,6.0900
2025-09-26,6.0900
2025-09-27,6.0900
2025-09-28,6.0900
2025-09-29,6.0900
2025-09-30,6.0900
2025-10-01,5.9300
2025-10-02,5.9300
2025-10-03,5.9300
2025-10-04,5.9300
2025-10-05,5.9300
2025-10-06,5.9300
2025-10-07,5.9300
2025-10-08,5.9300
2025-10-09,5.9300
2025-10-10,5.9300
2025-10-11,5.9300
2025-10-12,5.9300
2025-10-13,5.9300
2025-10-14,5.9300
2025-10-15,5.9300
2025-10-16,5.9300
2025-10-17,5.9300
2025-10-18,5.9300
2025-10-19,5.9300
2025-10-20,5.9300
2025-10-21,5.9300
2025-10-22,5.9300
2025-10-23,5.9300
2025-10-24,5.9300
2025-10-25,5.9300
2025-10-26,5.9300
2025-10-27,5.9300
2025-10-28,5.9300
2025-10-29,5.9300
2025-10-30,5.9300
2025-10-31,5.9300
2025-11-01,5.8000
2025-11-02,5.8000
2025-11-03,5.8000
2025-11-04,5.8000
2025-11-05,5.8000
2025-11-06,5.8000
2025-11-07,5.8000
2025-11-08,5.8000
2025-11-09,5.8000
2025-11-10,5.8000
2025-11-11,5.8000
2025-11-12,5.8000
2025-11-13,5.8000
2025-11-14,5.8000
2025-11-15,5.8000
2025-11-16,5.8000
2025-11-17,5.8000
2025-11-18,5.8000
2025-11-19,5.8000
2025-11-20,5.8000
2025-11-21,5.8000
2025-11-22,5.8000
2025-11-23,5.8000
2025-11-24,5.8000
2025-11-25,5.8000
2025-11-26,5.8000
2025-11-27,5.8000
2025-11-28,5.8000
2025-11-29,5.8000
2025-11-30,5.8000
2025-12-01,5.7000
2025-12-02,5.7000
2025-12-03,5.7000
2025-12-04,5.7000
2025-12-05,5.7000
2025-12-06,5.7000
2025-12-07,5.7000
2025-12-08,5.7000
2025-12-09,5.7000
2025-12-10,5.7000
2025-12-11,5.7000
2025-12-12,5.7000
2025-12-13,5.7000
2025-12-14,5.7000
2025-12-15,5.7000
2025-12-16,5.7000
2025-12-17,5.7000
2025-12-18,5.7000
2025-12-19,5.7000
2025-12-20,5.7000
2025-12-21,5.7000
2025-12-22,5.7000
2025-12-23,5.7000
2025-12-24,5.7000
2025-12-25,5.7000
2025-12-26,5.7000
2025-12-27,5.7000
2025-12-28,5.7000
2025-12-29,5.7000
2025-12-30,5.7000
2025-12-31,5.7000
2026-01-01,5.6300
2026-01-02,5.6300
2026-01-03,5.6300
2026-01-04,5.6300
2026-01-05,5.6300
2026-01-06,5.6300
2026-01-07,5.6300
2026-01-08,5.6300
2026-01-09,5.6300
2026-01-10,5.6300
2026-01-11,5.6300
2026-01-12,5.6300
2026-01-13,5.6300
2026-01-14,5.6300
2026-01-15,5.6300
2026-01-16,5.6300
2026-01-17,5.6300
2026-01-18,5.6300
2026-01-19,5.6300
2026-01-20,5.6300
2026-01-21,5.6300
2026-01-22,5.6300
2026-01-23,5.6300
2026-01-24,5.6300
2026-01-25,5.6300
2026-01-26,5.6300
2026-01-27,5.6300
2026-01-28,5.6300
2026-01-29,5.6300
2026-01-30,5.6300
2026-01-31,5.6300
2026-02-01,5.5600
2026-02-02,5.5600
2026-02-03,5.5600
2026-02-04,5.5600
2026-02-05,5.5600
2026-02-06,5.5600
2026-02-07,5.5600
2026-02-08,5.5600
2026-02-09,5.5600
2026-02-10,5.5600
2026-02-11,5.5600
2026-02-12,5.5600
2026-02-13,5.5600
2026-02-14,5.5600
2026-02-15,5.5600
2026-02-16,5.5600
2026-02-17,5.5600
2026-02-18,5.5600
2026-02-19,5.5600
2026-02-20,5.5600
2026-02-21,5.5600
2026-02-22,5.5600
2026-02-23,5.5600
2026-02-24,5.5600
2026-02-25,5.5600
2026-02-26,5.5600
2026-02-27,5.5600
2026-02-28,5.5600
2026-03-01,5.5200
2026-03-02,5.5200
2026-03-03,5.5200
2026-03-04,5.5200
2026-03-05,5.5200
2026-03-06,5.5200
2026-03-07,5.5200
2026-03-08,5.5200
2026-03-09,5.5200
2026-03-10,5.5200
2026-03-11,5.5200
2026-03-12,5.5200
2026-03-13,5.5200
2026-03-14,5.5200
2026-03-15,5.5200
2026-03-16,5.5200
2026-03-17,5.5200
2026-03-18,5.5200
2026-03-19,5.5200
2026-03-20,5.5200
2026-03-21,5.5200
2026-03-22,5.5200
2026-03-23,5.5200
2026-03-24,5.5200
2026-03-25,5.5200
2026-03-26,5.5200
2026-03-27,5.5200
2026-03-28,5.5200
2026-03-29,5.5200
2026-03-30,5.5200
2026-03-31,5.5200
2026-04-01,5.4300
